movie_name,genre,cast,director,tags
Chintu Ka Birthday,"Comedy,Drama,War","VinayPathak, TillotamaShome, SeemaPahwa, KhaledMasso","Devanshu Singh, Satyanshu Singh","During US invasion of Iraq some illegal migrants are waiting to get back home to India. As one such family prepares to celebrate the 6th birthday of their youngest member Chintu, their kind-hearted Iraqi landlord lends them a helping hand.Comedy,Drama,War,Devanshu Singh, Satyanshu Singh,VinayPathak, TillotamaShome, SeemaPahwa, KhaledMasso"
Amavas,"Horror,Thriller","AliAsgar, AliAsgar, VivanBhatena, SabinaChema",Bhushan Patel,"The lives of a couple turn into a nightmare, as dark forces lie in wait beneath the shadows of the haunted bungalow in which they have decided to stay.Horror,Thriller,Bhushan Patel,AliAsgar, AliAsgar, VivanBhatena, SabinaChema"
Bhindi Baazaar,"Crime,Drama,Thriller","KayKayMenon, PrashantNarayanan, PawanMalhotra, AdilFerozKhan",Ankush Bhatt,"Power struggles ensue in a gang after the sudden death of their leader.Crime,Drama,Thriller,Ankush Bhatt,KayKayMenon, PrashantNarayanan, PawanMalhotra, AdilFerozKhan"
Ankur,Drama,"ShabanaAzmi, SadhuMeher, AnantNag, PriyaTendulkar",Shyam Benegal,"Belonging to a lower caste, Lakshmi and her deaf-mute husband Kishtayya serve the landlord's son, Surya. When Surya's young wife finds out about his affair with Lakshmi, they all find themselves at crossroads.Drama,Shyam Benegal,ShabanaAzmi, SadhuMeher, AnantNag, PriyaTendulkar"
Karz,"Action,Musical,Romance","RishiKapoor, TinaAmbani, SimiGarewal, RajKiran",Subhash Ghai,"Ravi is killed by his wife after his marriage. He is reborn as Monty and is now a singer he goes to holiday in Ooty where he recollects his memories from previous life and inquires about his family from first life and his evil wife Kamini.Action,Musical,Romance,Subhash Ghai,RishiKapoor, TinaAmbani, SimiGarewal, RajKiran"
Mr. Natwarlal,"Action,Comedy,Romance","AmitabhBachchan, Rekha, AjitKhan, KaderKhan",Rakesh Kumar,"Natwar is just a young boy when his beloved older brother and caretaker, police officer Gridharilal (Ajit), is framed for bribery by sinister criminal mastermind Vikram (Amjad Khan). When ...                See full summary »Action,Comedy,Romance,Rakesh Kumar,AmitabhBachchan, Rekha, AjitKhan, KaderKhan"
Rangeela Raja,Comedy,"Govinda, MishikaChourasia, KaranAanand, AnupamaAgnihotri",Sikander Bharti,"A strong career woman changes the life of a business tycoon and upsets his family. His brother attempts to set everything back to normal. Will he succeed?Comedy,Sikander Bharti,Govinda, MishikaChourasia, KaranAanand, AnupamaAgnihotri"
Teri Meherbaniyan,"Action,Crime,Drama","JackieShroff, PoonamDhillon, RajKiran, Swapna",Vijay Reddy,"Ram is a govt official who tries to brings justice to an oppressed village. He almost succeed in his mission but is murdered by Vijay singh. His dream of justice is filled by his most loyal dog, MOTI.Action,Crime,Drama,Vijay Reddy,JackieShroff, PoonamDhillon, RajKiran, Swapna"
Hum Se Badkar Kaun,"Adventure,Drama","RanjeetBedi, Birbal, MithunChakraborty, MohanChoti",Deepak Bahry,"Four young boys tragically separated from their parents and each other grow up to become four different men with divergent values and conflicting methods. Fate eventually sets their paths for a head on collision.Adventure,Drama,Deepak Bahry,RanjeetBedi, Birbal, MithunChakraborty, MohanChoti"
Eeb Allay Ooo!,"Comedy,Drama","ShardulBharadwaj, MahenderNath, NutanSinha, ShashiBhushan",Prateek Vats,"A young migrant battles hordes of monkeys in the heart of New Delhi as a contractual monkey repeller.Comedy,Drama,Prateek Vats,ShardulBharadwaj, MahenderNath, NutanSinha, ShashiBhushan"
