movie_name,genre,cast,director,tags
Jawan,"Action,Thriller","ShahRukhKhan, Nayanthara, VijaySethupathi, DeepikaPadukone",Atlee,"A high-octane action thriller which outlines the emotional journey of a man who is set to rectify the wrongs in the society.Action,Thriller,Atlee,ShahRukhKhan, Nayanthara, VijaySethupathi, DeepikaPadukone"
Jaane Jaan,"Crime,Drama,Mystery","KareenaKapoor, JaideepAhlawat, VijayVarma, SaurabhSachdeva",Sujoy Ghosh,"A single mother and her daughter who commit a crime and a neighbor who helps them cover it up amidst a police investigation.Crime,Drama,Mystery,Sujoy Ghosh,KareenaKapoor, JaideepAhlawat, VijayVarma, SaurabhSachdeva"
Jailer,"Action,Comedy,Crime","Rajinikanth, Mohanlal, Shivarajkumar, JackieShroff",Nelson Dilipkumar,"A retired jailer goes on a manhunt to find his son's killers. But the road leads him to a familiar, albeit a bit darker place. Can he emerge from this complex situation successfully?Action,Comedy,Crime,Nelson Dilipkumar,Rajinikanth, Mohanlal, Shivarajkumar, JackieShroff"
Rocky Aur Rani Kii Prem Kahaani,"Comedy,Drama,Family","RanveerSingh, AliaBhatt, Dharmendra, ShabanaAzmi",Karan Johar,"Flamboyant Punjabi Rocky and intellectual Bengali journalist Rani fall in love despite their differences. After facing family opposition, they decide to live with each other's families for three months before getting married.Comedy,Drama,Family,Karan Johar,RanveerSingh, AliaBhatt, Dharmendra, ShabanaAzmi"
OMG 2,"Comedy,Drama","PankajTripathi, AkshayKumar, YamiGautam, PawanMalhotra",Amit Rai,"An unhappy civilian asks the court to mandate comprehensive education in schools in a dramatic yet amusing courtroom play.Comedy,Drama,Amit Rai,PankajTripathi, AkshayKumar, YamiGautam, PawanMalhotra"
Sukhee,Drama,"ShilpaShettyKundra, AmitSadh, ChaitannyaChoudhry, KushaKapila",Sonal Joshi,"Much to the dismay of her husband, a middle-class housewife, known for her rebellious attitude in high school, decides to attend her class reunion.Drama,Sonal Joshi,ShilpaShettyKundra, AmitSadh, ChaitannyaChoudhry, KushaKapila"
The Great Indian Family,Family,"AlkaAmin, BhuvanArora, ManushiChhillar, SrishtiDixit",Vijay Krishna Acharya,"Ved Vyas Tripathi, aka Bhajan Kumar, is a devout Hindu man who faces an identity crisis and a personal dilemma when he discovers he is actually a Muslim by birth.Family,Vijay Krishna Acharya,AlkaAmin, BhuvanArora, ManushiChhillar, SrishtiDixit"
The BFG,"Adventure,Family,Fantasy","MarkRylance, RubyBarnhill, PenelopeWilton, JemaineClement",Steven Spielberg,"An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.Adventure,Family,Fantasy,Steven Spielberg,MarkRylance, RubyBarnhill, PenelopeWilton, JemaineClement"
Pathaan,"Action,Adventure,Thriller","ShahRukhKhan, DeepikaPadukone, JohnAbraham, DimpleKapadia",Siddharth Anand,"An Indian agent races against a doomsday clock as a ruthless mercenary, with a bitter vendetta, mounts an apocalyptic attack against the country.Action,Adventure,Thriller,Siddharth Anand,ShahRukhKhan, DeepikaPadukone, JohnAbraham, DimpleKapadia"
Mastaney,"Action,Drama,History","TarsemJassar, SimiChahal, GurpreetGhuggi, KaramjitAnmol",Sharan Art,"Set in 1739, Nadar Shah's undefeated army was attacked by Sikh Rebellions. Nadar demands to arrest them but it doesn't work out. Five ordinary men are hired to play Sikh Rebellions but over time they learn what Sikhs are.Action,Drama,History,Sharan Art,TarsemJassar, SimiChahal, GurpreetGhuggi, KaramjitAnmol"
3 Idiots,"Comedy,Drama","AamirKhan, Madhavan, MonaSingh, SharmanJoshi",Rajkumar Hirani,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".Comedy,Drama,Rajkumar Hirani,AamirKhan, Madhavan, MonaSingh, SharmanJoshi"
Satyaprem Ki Katha,"Comedy,Drama,Musical","KartikAaryan, KiaraAdvani, SupriyaPathak, GajrajRao",Sameer Vidwans,"A middle-class boy in Ahmedabad, Satyaprem falling in one-sided love with Katha, who is coping with her breakup with Tapan. Through the journey, they discover each other's life and complement in accomplishing what was left halfway.Comedy,Drama,Musical,Sameer Vidwans,KartikAaryan, KiaraAdvani, SupriyaPathak, GajrajRao"
Lion,"Biography,Drama","DevPatel, NicoleKidman, RooneyMara, SunnyPawar",Garth Davis,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.Biography,Drama,Garth Davis,DevPatel, NicoleKidman, RooneyMara, SunnyPawar"
Bholaa Shankar,"Action,Drama","Chiranjeevi, TamannaahBhatia, KeerthySuresh, RaghuBabu",Meher Ramesh,"A doting brother tries to hunt down notorious criminals who had harmed his sister.Action,Drama,Meher Ramesh,Chiranjeevi, TamannaahBhatia, KeerthySuresh, RaghuBabu"
Haddi,"Crime,Drama","NawazuddinSiddiqui, AnuragKashyap, Mohd. ZeeshanAyyub, ReshLamba",Akshat Ajay Sharma,"In this ZEE5 Original film, a transgender, Haddi moves to Delhi and joins a gang of transgenders and cross-dressers headed by an influential man. But is this move aspirational or driven by revenge?Crime,Drama,Akshat Ajay Sharma,NawazuddinSiddiqui, AnuragKashyap, Mohd. ZeeshanAyyub, ReshLamba"
Friday Night Plan,"Comedy,Drama","BabilKhan, AmrithJayan, MedhaRana, AadhyaAnand",Vatsal Neelakantan,"When their mother takes off on a business trip, two bickering brothers unite to secretly attend the hottest party of the year before she returns.Comedy,Drama,Vatsal Neelakantan,BabilKhan, AmrithJayan, MedhaRana, AadhyaAnand"
Neeyat,"Crime,Mystery,Thriller","VidyaBalan, RamKapoor, RahulBose, NeerajKabi",Anu Menon,"When a mysterious murder takes place at exiled billionaire Ashish Kapoor's birthday getaway, detective Mira Rao must use all her skill to unravel devious motives as the suspects are Kapoor's close family and friends.Crime,Mystery,Thriller,Anu Menon,VidyaBalan, RamKapoor, RahulBose, NeerajKabi"
Gadar 2,"Action,Adventure,Drama","SunnyDeol, AmrishPuri, NanaPatekar, AmeeshaPatel",Anil Sharma,"When Tara Singh goes missing during a skirmish and is believed to be captured in Pakistan, his son Jeete sets out to rescue him and enters a labyrinth from which they both must escape at all costs.Action,Adventure,Drama,Anil Sharma,SunnyDeol, AmrishPuri, NanaPatekar, AmeeshaPatel"
Por Thozhil,"Action,Crime,Thriller","R. Sarathkumar, AshokSelvan, NikhilaVimal, SarathBabu","Vignesh Raja, T. Senthil Paramasivam","A bright but faint-hearted rookie cop has to overcome his fears in order to succeed in his first case which sees him partnered with a reclusive senior officer to catch a serial killer on the loose.Action,Crime,Thriller,Vignesh Raja, T. Senthil Paramasivam,R. Sarathkumar, AshokSelvan, NikhilaVimal, SarathBabu"
Life of Pi,"Adventure,Drama,Fantasy","SurajSharma, IrrfanKhan, AdilHussain, Tabu",Ang Lee,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.Adventure,Drama,Fantasy,Ang Lee,SurajSharma, IrrfanKhan, AdilHussain, Tabu"
Asoka,"Action,Biography,Drama","ShahRukhKhan, KareenaKapoor, DannyDenzongpa, HrishitaaBhatt",Santosh Sivan,"The epic tale of King Asoka's life is recounted.Action,Biography,Drama,Santosh Sivan,ShahRukhKhan, KareenaKapoor, DannyDenzongpa, HrishitaaBhatt"
The Darjeeling Limited,"Adventure,Comedy,Drama","OwenWilson, AdrienBrody, JasonSchwartzman, AmaraKaran",Wes Anderson,"A year after their father's funeral, three brothers travel across India by train in an attempt to bond with each other.Adventure,Comedy,Drama,Wes Anderson,OwenWilson, AdrienBrody, JasonSchwartzman, AmaraKaran"
Dangal,"Action,Biography,Drama","AamirKhan, SakshiTanwar, FatimaSanaShaikh, SanyaMalhotra",Nitesh Tiwari,"Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.Action,Biography,Drama,Nitesh Tiwari,AamirKhan, SakshiTanwar, FatimaSanaShaikh, SanyaMalhotra"
Tumbbad,"Drama,Fantasy,Horror","SohumShah, JyotiMalshe, AnitaDate-Kelkar, RonjiniChakraborty","Rahi Anil Barve, Anand Gandhi, Adesh Prasad","A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.Drama,Fantasy,Horror,Rahi Anil Barve, Anand Gandhi, Adesh Prasad,SohumShah, JyotiMalshe, AnitaDate-Kelkar, RonjiniChakraborty"
Dunki,"Comedy,Drama","ShahRukhKhan, TaapseePannu, BomanIrani, VickyKaushal",Rajkumar Hirani,"The rampant use of an illegal backdoor route called 'Donkey Flight' by Indians to immigrate to countries like Canada and USA.Comedy,Drama,Rajkumar Hirani,ShahRukhKhan, TaapseePannu, BomanIrani, VickyKaushal"
Sirf Ek Bandaa Kaafi Hai,"Crime,Drama,Thriller","ManojBajpayee, SuryaMohanKulshreshtha, JaiHindKumar, NikhilPandey",Apoorv Singh Karki,"A common man with honesty and integrity can take on the system when he has truth on his side.Crime,Drama,Thriller,Apoorv Singh Karki,ManojBajpayee, SuryaMohanKulshreshtha, JaiHindKumar, NikhilPandey"
Gangs of Wasseypur,"Action,Comedy,Crime","ManojBajpayee, NawazuddinSiddiqui, TigmanshuDhulia, RichaChadha",Anurag Kashyap,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.Action,Comedy,Crime,Anurag Kashyap,ManojBajpayee, NawazuddinSiddiqui, TigmanshuDhulia, RichaChadha"
Khufiya,"Action,Biography,Crime","Tabu, AliFazal, WamiqaGabbi, AzmeriHaqueBadhon",Vishal Bhardwaj,"Krishna Mehra who is an operative at Indian spy agency known as R&AW. She is assigned to track down the mole selling India's defense secrets, while all along grappling with her dual identity as a spy and a lover.Action,Biography,Crime,Vishal Bhardwaj,Tabu, AliFazal, WamiqaGabbi, AzmeriHaqueBadhon"
Animal,"Action,Crime,Drama","RanbirKapoor, TriptiiDimri, SaurabhSachdeva, AnilKapoor",Sandeep Reddy Vanga,"Animal is the story of a son's obsessive love for his father. Often away due to work the father is unable to comprehend the intensity of his son's love. Ironically, this fervent love and ...                See full summary »Action,Crime,Drama,Sandeep Reddy Vanga,RanbirKapoor, TriptiiDimri, SaurabhSachdeva, AnilKapoor"
Miss Shetty Mr Polishetty,"Comedy,Drama,Romance","KeshavDeepak, AbhinavGomatam, Jayasudha, KoushikMahata",Mahesh Babu P.,"Miss Shetty is a feminist living in London and wants to be single forever. Mr. Polishetty from Hyderabad in Telangana, India, wants to be in a committed relationship. The two appear to be in different stages of life but somehow connect.Comedy,Drama,Romance,Mahesh Babu P.,KeshavDeepak, AbhinavGomatam, Jayasudha, KoushikMahata"
Bawaal,"Action,Drama,Romance","VarunDhawan, JanhviKapoor, ManojPahwa, AnjumanSaxena",Nitesh Tiwari,"A small-town man who falls in love with the most beautiful girl in town. He wants to marry her one day because marrying her can raise his social position.Action,Drama,Romance,Nitesh Tiwari,VarunDhawan, JanhviKapoor, ManojPahwa, AnjumanSaxena"
Brahmastra Part One: Shiva,"Action,Adventure,Fantasy","AmitabhBachchan, RanbirKapoor, AliaBhatt, NagarjunaAkkineni",Ayan Mukerji,"A DJ with superpowers and his ladylove embark on a mission to protect the Brahmastra, a weapon of enormous energy, from dark forces closing in on them.Action,Adventure,Fantasy,Ayan Mukerji,AmitabhBachchan, RanbirKapoor, AliaBhatt, NagarjunaAkkineni"
Ghoomer,"Drama,Sport","AmitabhBachchan, ShabanaAzmi, AbhishekBachchan, SaiyamiKher",R. Balki,"Anina, a young batting prodigy, loses her right hand in an accident. An unsympathetic, failed cricketer gives her new hope, trains her with unconventional techniques, to turn her fate around. Ghoomer is a new style of bowling they invent.Drama,Sport,R. Balki,AmitabhBachchan, ShabanaAzmi, AbhishekBachchan, SaiyamiKher"
Tiger 3,"Action,Adventure,Thriller","SalmanKhan, KatrinaKaif",Maneesh Sharma,"Plot under wrapsAction,Adventure,Thriller,Maneesh Sharma,SalmanKhan, KatrinaKaif"
Tu Jhoothi Main Makkaar,"Comedy,Romance","RanbirKapoor, ShraddhaKapoor, KrrishSaini, AnubhavSinghBassi",Luv Ranjan,"Madness ensues when a 'player' in the world of romantic relationships finds a girl who's a worthy opponent, that believes love is a battle of wits.Comedy,Romance,Luv Ranjan,RanbirKapoor, ShraddhaKapoor, KrrishSaini, AnubhavSinghBassi"
Drishyam 2,"Crime,Drama,Mystery","AjayDevgn, AkshayeKhanna, Tabu, ShriyaSaran",Abhishek Pathak,"A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?Crime,Drama,Mystery,Abhishek Pathak,AjayDevgn, AkshayeKhanna, Tabu, ShriyaSaran"
Gandhi,"Biography,Drama,History","BenKingsley, JohnGielgud, RohiniHattangadi, RoshanSeth",Richard Attenborough,"The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.Biography,Drama,History,Richard Attenborough,BenKingsley, JohnGielgud, RohiniHattangadi, RoshanSeth"
PK,"Comedy,Drama,Sci-Fi","AamirKhan, AnushkaSharma, SanjayDutt, BomanIrani",Rajkumar Hirani,"An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of there religious views on there people.Comedy,Drama,Sci-Fi,Rajkumar Hirani,AamirKhan, AnushkaSharma, SanjayDutt, BomanIrani"
My Name Is Khan,"Adventure,Drama,Romance","ShahRukhKhan, Kajol, SheetalMenon, KatieAmandaKeane",Karan Johar,"An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.Adventure,Drama,Romance,Karan Johar,ShahRukhKhan, Kajol, SheetalMenon, KatieAmandaKeane"
Raees,"Action,Crime,Drama","ShahRukhKhan, JaideepAhlawat, SunnyLeone, NawazuddinSiddiqui",Rahul Dholakia,"A bootlegger sets out to improve his community as a promising leader but falls in a political trap.Action,Crime,Drama,Rahul Dholakia,ShahRukhKhan, JaideepAhlawat, SunnyLeone, NawazuddinSiddiqui"
Rama Banam,"Action,Drama","Gopichand, DimpleHayathi, JagapathiBabu, Kushboo",Sriwass,"Two siblings, who despite their difference in ideologies come together to fight for their common goal.Action,Drama,Sriwass,Gopichand, DimpleHayathi, JagapathiBabu, Kushboo"
Andhadhun,"Crime,Mystery,Thriller","Tabu, AyushmannKhurrana, RadhikaApte, AnilDhawan",Sriram Raghavan,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.Crime,Mystery,Thriller,Sriram Raghavan,Tabu, AyushmannKhurrana, RadhikaApte, AnilDhawan"
Thank You for Coming,Comedy,"BhumiPednekar, DollyAhluwalia, ShibaniBedi, SaloniDaini",Karan Boolani,"When five best friends assemble together at a family gathering, they must navigate the hilarious and heartwarming consequences of their lie, discovering the true depth of their friendship and love.Comedy,Karan Boolani,BhumiPednekar, DollyAhluwalia, ShibaniBedi, SaloniDaini"
Dream Girl 2,"Comedy,Drama,Romance","PareshRawal, AnanyaPanday, AyushmannKhurrana, AnnuKapoor",Raaj Shaandilyaa,"Karam, who is trying to live a serious life in Mathura and falls in love with Pari but life is hell bent on not taking him seriously. In a turn of events Karam becomes Pooja which creates further chaos in his already chaotic life.Comedy,Drama,Romance,Raaj Shaandilyaa,PareshRawal, AnanyaPanday, AyushmannKhurrana, AnnuKapoor"
Kushi,"Comedy,Drama,Romance","SamanthaRuthPrabhu, VijayDeverakonda, Lakshmi, MurliSharma",Shiva Nirvana,"Raised in an atheist household, a young man falls in love with the daughter of his father's arch-rival, a devout Hindu leader.Comedy,Drama,Romance,Shiva Nirvana,SamanthaRuthPrabhu, VijayDeverakonda, Lakshmi, MurliSharma"
Taare Zameen Par,"Drama,Family","DarsheelSafary, AamirKhan, TanayChheda, SachetEngineer","Aamir Khan, Amole Gupte","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.Drama,Family,Aamir Khan, Amole Gupte,DarsheelSafary, AamirKhan, TanayChheda, SachetEngineer"
Drishyam,"Crime,Drama,Mystery","AjayDevgn, ShriyaSaran, Tabu, RajatKapoor",Nishikant Kamat,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.Crime,Drama,Mystery,Nishikant Kamat,AjayDevgn, ShriyaSaran, Tabu, RajatKapoor"
Chor Nikal Ke Bhaga,"Crime,Drama,Thriller","YamiGautam, SunnyKaushal, SharadKelkar, IndraneilSengupta",Ajay Singh,"A flight attendant and her business partner on a mission to steal diamonds and free themselves from the clutches of a loan shark.At 40,000 feet in the air, the heist goes horribly wrong and turns into a hostage situation.Crime,Drama,Thriller,Ajay Singh,YamiGautam, SunnyKaushal, SharadKelkar, IndraneilSengupta"
Gangubai Kathiawadi,"Biography,Crime,Drama","AliaBhatt, ShantanuMaheshwari, VijayRaaz, IndiraTiwari",Sanjay Leela Bhansali,"Duped and sold to a brothel, a young woman fearlessly reclaims her power, using underworld connections to preside over the world she was once a pawn in.Biography,Crime,Drama,Sanjay Leela Bhansali,AliaBhatt, ShantanuMaheshwari, VijayRaaz, IndiraTiwari"
Gaslight,"Crime,Horror,Mystery","SaraAliKhan, VikrantMassey, ChitrangdaSingh, RahulDev",Pavan Kirpalani,"Misha returns to her royal family estate after 15 years to visit her estranged father, only to find him missing.Crime,Horror,Mystery,Pavan Kirpalani,SaraAliKhan, VikrantMassey, ChitrangdaSingh, RahulDev"
The Buckingham Murders,Thriller,"KareenaKapoor, KeithAllen, HaqiAli, ChrisWilson",Hansal Mehta,"Follows Jass, a detective-mother who after losing her own child must investigate the murder of a 10-year-old in Buckinghamshire, going down a rabbit hole of secrets, where almost everyone in the small town becomes a suspect.Thriller,Hansal Mehta,KareenaKapoor, KeithAllen, HaqiAli, ChrisWilson"
Fighter,"Action,Adventure,Thriller","HrithikRoshan, DeepikaPadukone, AnilKapoor, AkarshAlagh",Siddharth Anand,"FIGHTER is India's first aerial action film releasing in theaters on 25th January, 2024.Action,Adventure,Thriller,Siddharth Anand,HrithikRoshan, DeepikaPadukone, AnilKapoor, AkarshAlagh"
Bholaa,"Action,Adventure,Crime","AjayDevgn, Tabu, AbhishekBachchan, AmalaPaul",Ajay Devgn,"After getting out of prison with the desire to meet his daughter, Bholaa's plans are interrupted by a well-orchestrated drug bust.Action,Adventure,Crime,Ajay Devgn,AjayDevgn, Tabu, AbhishekBachchan, AmalaPaul"
Om Shanti Om,"Action,Comedy,Drama","ShahRukhKhan, DeepikaPadukone, ArjunRampal, KirronKher",Farah Khan,"In the 1970s, Om, an aspiring actor, is murdered, but is immediately reincarnated into the present day. He attempts to discover the mystery of his demise and find Shanti, the love of his previous life.Action,Comedy,Drama,Farah Khan,ShahRukhKhan, DeepikaPadukone, ArjunRampal, KirronKher"
Kabhi Khushi Kabhie Gham...,"Drama,Musical,Romance","ShahRukhKhan, Kajol, AmitabhBachchan, HrithikRoshan",Karan Johar,"After marrying a poor woman, rich Rahul is disowned by his father and moves to London to build a new life. Years later, his now-grown younger brother Rohan embarks on a mission to bring Rahul back home and reunite the family.Drama,Musical,Romance,Karan Johar,ShahRukhKhan, Kajol, AmitabhBachchan, HrithikRoshan"
The Kerala Story,Drama,"AdahSharma, YogitaBihani, SoniaBalani, SiddhiIdnani","Sudipto Sen, Vipul Amrutlal Shah","A converted Muslim woman Fatima Ba narrates her ordeal of how she once wanted to become a nurse but was abducted from her home and manipulated by religious vanguards, turned into an ISIS terrorist and landed in Afghanistan jail.Drama,Sudipto Sen, Vipul Amrutlal Shah,AdahSharma, YogitaBihani, SoniaBalani, SiddhiIdnani"
Vikram Vedha,"Action,Crime,Drama","SaifAliKhan, HrithikRoshan, RadhikaApte, RohitSaraf","Gayatri, Pushkar","A tough police officer sets out to track down and kill an equally tough gangster.Action,Crime,Drama,Gayatri, Pushkar,SaifAliKhan, HrithikRoshan, RadhikaApte, RohitSaraf"
"Swades: We, the People","Drama,Musical","ShahRukhKhan, GayatriJoshi, KishoriBallal, SmithSeth",Ashutosh Gowariker,"A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.Drama,Musical,Ashutosh Gowariker,ShahRukhKhan, GayatriJoshi, KishoriBallal, SmithSeth"
Bajrangi Bhaijaan,"Action,Adventure,Comedy","SalmanKhan, HarshaaliMalhotra, NawazuddinSiddiqui, KareenaKapoor","Kabir Khan, Mehmet Tutkun","An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.Action,Adventure,Comedy,Kabir Khan, Mehmet Tutkun,SalmanKhan, HarshaaliMalhotra, NawazuddinSiddiqui, KareenaKapoor"
Bloody Daddy,"Action,Crime,Drama","ShahidKapoor, VivanBhatena, DianaPenty, RonitRoy",Ali Abbas Zafar,"A messed up, tenacious man faces off against cops and crime lords to save the one relationship that matters to him.Action,Crime,Drama,Ali Abbas Zafar,ShahidKapoor, VivanBhatena, DianaPenty, RonitRoy"
The Hundred-Foot Journey,"Comedy,Drama","HelenMirren, OmPuri, ManishDayal, CharlotteLeBon",Lasse Hallström,"The Kadam family leaves India for France where they open a restaurant directly across the road from Madame Mallory's Michelin-starred eatery.Comedy,Drama,Lasse Hallström,HelenMirren, OmPuri, ManishDayal, CharlotteLeBon"
The Kashmir Files,Drama,"MithunChakraborty, AnupamKher, DarshanKumaar, PallaviJoshi",Vivek Agnihotri,"A heart-wrenching tale that captures the pain, suffering, and struggle of the Kashmiri Pandit community in 1990 and leads Krishna, a young college student, to set out on a quest to uncover the truth.Drama,Vivek Agnihotri,MithunChakraborty, AnupamKher, DarshanKumaar, PallaviJoshi"
Akelli,"Drama,Thriller","NushrrattBharuccha, AmirBoutrous, NishantDahiya, VijayKumarDogra",Pranay Meshram,"An ordinary Indian girl gets trapped in a war-torn land and survival is her battle.Drama,Thriller,Pranay Meshram,NushrrattBharuccha, AmirBoutrous, NishantDahiya, VijayKumarDogra"
OMG: Oh My God!,"Comedy,Drama,Fantasy","PareshRawal, AkshayKumar, MithunChakraborty, MaheshManjrekar",Umesh Shukla,"A shopkeeper takes God to court when his shop is destroyed by an earthquake.Comedy,Drama,Fantasy,Umesh Shukla,PareshRawal, AkshayKumar, MithunChakraborty, MaheshManjrekar"
Adipurush,"Action,Adventure,Drama","KritiSanon, SaifAliKhan, Prabhas, DevduttaNage",Om Raut,"A modern adaptation of the Indian epic Ramayana which follows the exiled prince Raghav's journey to rescue his wife Janaki from the raakshash king Lankesh.Action,Adventure,Drama,Om Raut,KritiSanon, SaifAliKhan, Prabhas, DevduttaNage"
IB 71,"Action,Thriller","AnupamKher, VidyutJammwal, DalipTahil, NissarKhan","Sankalp Reddy, Lee Whittaker","A two- front war between Indian intelligence agencies and the Pakistani establishment.Action,Thriller,Sankalp Reddy, Lee Whittaker,AnupamKher, VidyutJammwal, DalipTahil, NissarKhan"
Padmaavat,"Drama,History,Romance","DeepikaPadukone, RanveerSingh, ShahidKapoor, AditiRaoHydari",Sanjay Leela Bhansali,"Set in medieval Rajasthan, Queen Padmavati is married to a noble king and they live in a prosperous fortress with their subjects until an ambitious Sultan hears of Padmavati's beauty and forms an obsessive love for the Queen of Mewar.Drama,History,Romance,Sanjay Leela Bhansali,DeepikaPadukone, RanveerSingh, ShahidKapoor, AditiRaoHydari"
Zindagi Na Milegi Dobara,"Comedy,Drama,Musical","HrithikRoshan, FarhanAkhtar, AbhayDeol, KatrinaKaif",Zoya Akhtar,"Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.Comedy,Drama,Musical,Zoya Akhtar,HrithikRoshan, FarhanAkhtar, AbhayDeol, KatrinaKaif"
Jab Tak Hai Jaan,"Drama,Romance","ShahRukhKhan, KatrinaKaif, AnushkaSharma, LucyPhelps",Yash Chopra,"An uncompromising film on true love from the legendary and unforgettable director Yash Chopra which is fascinatingly distinctive and contemporary.Drama,Romance,Yash Chopra,ShahRukhKhan, KatrinaKaif, AnushkaSharma, LucyPhelps"
Monica O My Darling,"Comedy,Crime,Drama","RajkummarRao, HumaQureshi, SikandarKher, BagavathiPerumal",Vasan Bala,"A slick robotics expert joins a murderous plot after a passionate affair takes a sudden turn, but nothing not even death , is what it seems to be.Comedy,Crime,Drama,Vasan Bala,RajkummarRao, HumaQureshi, SikandarKher, BagavathiPerumal"
Bhediya,"Comedy,Fantasy,Horror","VarunDhawan, KritiSanon, AbhishekBanerjee, DeepakDobriyal",Amar Kaushik,"Set in the forests of Arunachal, Bhediya is a story of Bhaskar, a man who gets bitten by a wolf, and begins to transform into the creature. As Bhaskar and his buddies try to find answers, a bunch of twists, turns, and laughs ensue.Comedy,Fantasy,Horror,Amar Kaushik,VarunDhawan, KritiSanon, AbhishekBanerjee, DeepakDobriyal"
Ra.One,"Action,Adventure,Sci-Fi","ShahRukhKhan, ArjunRampal, KareenaKapoor, ShahanaGoswami",Anubhav Sinha,"When the titular antagonist of an action game takes on physical form, it's only the game's less powerful protagonist who can save his creator's family.Action,Adventure,Sci-Fi,Anubhav Sinha,ShahRukhKhan, ArjunRampal, KareenaKapoor, ShahanaGoswami"
Laal Singh Chaddha,"Comedy,Drama,Romance","AamirKhan, AhmadIbnUmar, KareenaKapoor, HafsaAshraf",Advait Chandan,"The story of Laal Singh Chaddha, a simple man whose extraordinary journey will fill you with love, warmth and happiness.Comedy,Drama,Romance,Advait Chandan,AamirKhan, AhmadIbnUmar, KareenaKapoor, HafsaAshraf"
Don 2,"Action,Crime,Thriller","ShahRukhKhan, FlorianLukas, OmPuri, PriyankaChopraJonas",Farhan Akhtar,"Don turns himself in and escapes with Vardhaan from prison, following which he recruits a team to steal currency printing plates from a bank in Berlin.Action,Crime,Thriller,Farhan Akhtar,ShahRukhKhan, FlorianLukas, OmPuri, PriyankaChopraJonas"
Chup,"Crime,Drama,Mystery","DulquerSalmaan, ShreyaDhanwanthary, SunnyDeol, PoojaBhatt",R. Balki,"A crime thriller in which police are on the hunt for a killer who is targeting film critics.Crime,Drama,Mystery,R. Balki,DulquerSalmaan, ShreyaDhanwanthary, SunnyDeol, PoojaBhatt"
Kuch Kuch Hota Hai,"Comedy,Drama,Musical","ShahRukhKhan, Kajol, RaniMukerji, SanaSaeed",Karan Johar,"During their college years, Anjali was in love with her best-friend Rahul, but he had eyes only for Tina. Years later, Rahul and the now-deceased Tina's eight-year-old daughter attempts to reunite her father and Anjali.Comedy,Drama,Musical,Karan Johar,ShahRukhKhan, Kajol, RaniMukerji, SanaSaeed"
Don,"Action,Crime,Thriller","ShahRukhKhan, PriyankaChopraJonas, ArjunRampal, IshaKoppikar",Farhan Akhtar,"Vijay is recruited by a police officer to masquerade as his lookalike Don, the leader of an international gang of smugglers. Things go wrong when the officer is killed and Vijay is left to fend for himself.Action,Crime,Thriller,Farhan Akhtar,ShahRukhKhan, PriyankaChopraJonas, ArjunRampal, IshaKoppikar"
Devdas,"Drama,Musical,Romance","ShahRukhKhan, AishwaryaRaiBachchan, MadhuriDixit, JackieShroff",Sanjay Leela Bhansali,"After his wealthy family prohibits him from marrying the woman he is in love with, Devdas Mukherjee's life spirals further and further out of control as he takes up alcohol and a life of vice to numb the pain.Drama,Musical,Romance,Sanjay Leela Bhansali,ShahRukhKhan, AishwaryaRaiBachchan, MadhuriDixit, JackieShroff"
Badla,"Crime,Drama,Mystery","AmitabhBachchan, TaapseePannu, AmritaSingh, AntonioAakeel",Sujoy Ghosh,"A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires a prestigious lawyer to defend her and they work together to figure out what actually happened.Crime,Drama,Mystery,Sujoy Ghosh,AmitabhBachchan, TaapseePannu, AmritaSingh, AntonioAakeel"
